what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541861044311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861045523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861047403
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541861047507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541861051019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861053480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861089107
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541861091550
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541861100501
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1541861100833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541861116052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861118510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861165241
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1541861179107
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1541861179556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861199501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861209147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861211873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861218889
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1541861225728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541861227090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861228677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861461188
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1541861471450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541861473573
